program_id,name_en,name_th_canonical
bangkhen_a612dbb4,Chemical Engineering
bangkhen_ddf705a9,Computer Engineering
bangkhen_65e17156,Industrial Engineering
bangkhen_490b53ef,Semiconductor Engineering
bangkhen_2a423ff9,Geography
bangkhen_7f3b69b8,
bangkhen_62a85ee2,Science of the Land (Sufficiency Economy)
bangkhen_95070360,Civil Engineering
bangkhen_57bbf1ac,Electrical Engineering
bangkhen_282b5991,Materials Engineering
bangkhen_5b6f81ed,Veterinary Technology
bangkhen_df395fd7,Aerospace Engineering
bangkhen_978e034a,Civil Engineering - Water Resources
bangkhen_11a20d3f,Environmental Engineering
bangkhen_9312de2c,Survey and Geographic Information Engineering
bangkhen_362ef3ec,Mechanical Engineering (International Program)
bangkhen_579eaed1,Public Administration
bangkhen_3976b66b,Animal Nursing
bangkhen_1ca687c1,Bachelor of Accountancy Program (International Program),บัญชีบัณฑิต
bangkhen_d56eb1e6,Digital Manufacturing and Robotics Engineering (International Program)
bangkhen_0a75bd0f,Software and Knowledge Engineering (IUP)
bangkhen_50fe0121,Aviation Technology Management
bangkhen_13e0215f,Bachelor of Nursing Science Program,พยาบาลศาสตร์
bangkhen_ef87a252,Bachelor of Science Program in Knowledge of The Land for Sustainable Development,ศาสตร์แห่งแผ่นดินเพื่อการพัฒนาที่ยั่งยืน
bangkhen_f59cc529,Psychology
bangkhen_524aa3dd,Electro-Mechanical Manufacturing Engineering
bangkhen_b3439795,Mechanical Engineering
bangkhen_91a878d9,Southeast Asian Studies
bangkhen_45012e1a,Law
bangkhen_6471b30d,Political Science
bangkhen_bbc3aed6,History
bangkhen_b329a2c4,Sociology and Anthropology
bangkhen_dd9a49d8,Bachelor of Education Program in Educational Studies,ศึกษาศาสตร์
bangkhen_eng_7c9001b4,Digital Manufacturing and Robotics Engineering (International Program),วิศวกรรมการผลิตดิจิทัลและการบูรณาการหุ่นยนต์
bangkhen_7600c7cd,Doctor of Philosophy Program in Chemical Engineering,วิศวกรรมเคมี (ปริญญาเอก)
bangkhen_eng_b17edf6c,Doctor of Philosophy Program in Materials Engineering,วิศวกรรมวัสดุ (ปริญญาเอก)
bangkhen_fish_21970d53,,วิทยาศาสตร์การประมงและเทคโนโลยี (ปริญญาโท)
bangkhen_fish_563c2887,,วิทยาศาสตร์การประมงและเทคโนโลยี (ปริญญาเอก)
bangkhen_eng_63fa1a4f,Bachelor of Engineering Program in Mechanical Engineering (International Program),วิศวกรรมเครื่องกล (นานาชาติ)
bangkhen_5a8d741f,Bachelor of Engineering Program in Electrical Engineering,วิศวกรรมไฟฟ้า
bangkhen_f765bc67,Bachelor of Engineering Program in Civil-Irrigation Engineering,วิศวกรรมโยธา-ชลประทาน
